,Comment,Forum,Segments,NoStopPunct
133,"轉31台
全力支持港台 繼續為社會發聲",1,"轉 31 台 
 全力支持 港台   繼續 為 社會 發聲",轉 31 台 全力支持 港台 繼續 為 社會 發聲
134,推俾全世界知,1,推 俾 全世界 知,推 俾 全世界
135,"RTHK靠政府撥款營運㗎 政府想cut budget好耐
大家要落力支持RTHK 讓佢繼續中立 唔好淪為政府喉舌",1,"RTHK 靠 政府 撥款 營運 㗎   政府 想 cut   budget 好耐 
 大家 要 落力 支持 RTHK   讓 佢 繼續 中立   唔好 淪為 政府 喉舌",RTHK 靠 政府 撥款 營運 㗎 政府 cut budget 好耐 大家 落力 支持 RTHK 讓 繼續 中立 唔好 淪為 政府 喉舌
136,警犬:全部都係我既人，你點同我鬥,1,警犬 : 全部 都 係 我 既 人 ， 你 點同 我鬥,警犬 全部 人 點同 我鬥
137,知咩料啦,1,知 咩 料 啦,料 啦
138,堅持五大訴求 拒絕警黑勾結,1,堅持 五大 訴求   拒絕 警黑 勾結,堅持 五大 訴求 拒絕 警黑 勾結
139,睇撚到欲哭無淚,1,睇 撚 到 欲哭無淚,撚 欲哭無淚
140,share出去,1,share 出去,share 出去
141,"已經唔係鬧政府 或者偏黃
只係報緊真相 真相永遠站在公義一方",1,"已經 唔係 鬧 政府   或者 偏黃 
 只係 報緊 真相   真相 永遠 站 在 公義 一方",鬧 政府 偏黃 只係 報緊 真相 真相 永遠 站 公義 一方
142,請隨便,1,請 隨便,請 隨便
143,rthk好波,1,rthk 好波,rthk 好波
144,香港電台 香港良心,1,香港 電台   香港 良心,香港 電台 香港 良心
145,經緯線都幾高汁,1,經緯線 都 幾高汁,經緯線 幾高汁
146,光復香港 時代革命,1,光復 香港   時代 革命,光復 香港 時代 革命
147,"係連登推冇用
擺上各大中老年人睇既平台啦",1,"係 連登 推 冇用 
 擺上 各 大中 老年人 睇 既 平台 啦",連登 推 冇用 擺上 各 大中 老年人 平台 啦
148,"推上香港utube 熱門, yahoo搜尋字熱門",1,"推上 香港 utu be   熱門 ,   yahoo 搜尋 字 熱門",推上 香港 utu be 熱門 yahoo 搜尋 字 熱門
149,港台不嬲高質,1,港台 不嬲 高質,港台 不嬲 高質
150,"元朗黑夜，我搜集咗目前已有嘅資料
整理出相信係目前最完整嘅記錄

8:49pm：白衫人喺天橋底嗰鳳攸北街休憩處聚集（盡在元朗live）
9:20pm：有人喺休憩處被打（有線新聞）
9:50pm：有人喺休憩處、渠附近被打（Now新聞）
10:33pm：有人喺月台聽到兩個白衫WhatsApp同人講「班人唔敢出黎，匿埋咗喺月台」（民間社福界資訊地球post）
10:40pm：有人喺西鐵站中間位見到白衫同人口角，十幾個白衫（跳）入閘打交（網民Fubi地球post）
10:44pm：林卓廷開始live，已見到有人受咗傷，地下有血跡，現場人士稱白衫人已離開
10:45pm：港鐵發現元朗站大堂有人爭執（港鐵話）
10:47pm：港鐵報警（港鐵話）
10:47pm：見到好多白衫人出現喺西鐵站中間位，隔空攻擊閘內市民（林卓廷live到3分幾）
10:51pm：立場新聞開始live
10:52pm：兩名軍裝警員到場了解情況（警方話）
10:5Xpm：兩名軍裝警員從G2出口離開（古天后炒股日記地球post）
10:55pm：立場姐姐話15分鐘之前，first-aider已報警（立場live到4分幾）
10:58pm：立場姐姐出咗閘機，隨即被一個大叔追打至瞓低（立場新聞live到7分幾）
11:00pm：閘內市民撤退上月台，白衫一路追上去（林卓廷live到16分幾）
11:00pm：西鐵不停元朗站（有線新聞）
11:03pm：白衫上到月到襲擊車廂內市民（林卓廷live到19分幾）
11:05pm：見到白衫喺月台襲擊車廂內市民（立場新聞live到14分鐘)
11:13pm：列車終於開出，白衫暴徒落去、離開月台（立場新聞live到22分鐘）
11:15pm：立場姐姐話見到警察剛到達現場，「白衫人士喺另一邊即鏡頭最盡個出口離開緊」（立場新聞live到24分幾）
11:16pm：白衫人向G2出口跑走，多名警員施施然到場（網民David地球post、網友提供片段）
11:20pm：警員到場（警察話）
11:22pm：多名白衫人從天橋抵雞地（網友提供照片）
11:24pm：市民鼓譟，同警察理論（立場新聞live到33分鐘）
11:44pm：大批警察從J出口離開（立場新聞live到53分鐘）
11:52pm：指揮官李漢民在西鐵站J出口外話冇睇錶（港台新聞）
00:27am：白衫暴徒拉起J出口鐵閘返回車站追打市民（港台新聞）
01:00am前：白衫在南邊圍村出面追打私家車（有線新聞）
01:20am：警察同記者去到南邊圍村口，被拒入內（有線新聞）
03:36am：警察入南邊圍村，記者被拒入內（有線新聞）
03:52am：警察出村，冇人被捕（有線新聞）
04:06am：白衫坐私家車離開南邊圍村（有線新聞）
05:15am：警司游乃強話唔見有攻擊性武器、不能肯定村口人士參與打鬥（HK01）

在林卓廷同立場live之後，好多野都有記錄
但佢地開live之前嘅現場情況係點，好少人知
10點40分之前大約一粒鐘幾乎冇資料
可以話係「神秘一小時」！
成班暴徒係點樣走上西鐵站？警察係咪知情？
黑警玩冷處理，追查真相要靠民間
除咗幫手頂置呢個post
下面呢個google form係收集線索
可以轉發畀住元朗嘅朋友、幫手重組案情
亦可用呢個QR code：
民間獨立調查委員會，正、式、成、立！",1,"元朗 黑夜 ， 我 搜集 咗 目前 已有 嘅 資料 
 整理 出 相信 係 目前 最 完整 嘅 記錄 
 
 8 : 49pm ： 白衫 人 喺 天橋 底 嗰 鳳 攸 北街 休憩 處 聚集 （ 盡 在 元朗 live ） 
 9 : 20pm ： 有人 喺 休憩 處 被 打 （ 有線 新聞 ） 
 9 : 50pm ： 有人 喺 休憩 處 、 渠 附近 被 打 （ Now 新聞 ） 
 10 : 33pm ： 有人 喺 月台 聽到 兩個 白衫 Wh at sApp 同人 講 「 班人 唔 敢出 黎 ， 匿 埋 咗 喺 月台 」 （ 民間 社福界 資訊 地球 post ） 
 10 : 40pm ： 有人 喺 西 鐵站 中間 位 見到 白衫 同人 口角 ， 十幾個 白衫 （ 跳 ） 入閘 打交 （ 網民 Fubi 地球 post ） 
 10 : 44pm ： 林卓廷 開始 live ， 已 見到 有人 受 咗 傷 ， 地下 有 血跡 ， 現場 人士 稱白衫 人 已 離開 
 10 : 45pm ： 港鐵 發現 元朗 站 大堂 有人 爭執 （ 港鐵話 ） 
 10 : 47pm ： 港鐵 報警 （ 港鐵話 ） 
 10 : 47pm ： 見到 好多 白衫 人 出現 喺 西 鐵站 中間 位 ， 隔空 攻擊 閘內 市民 （ 林卓廷 live 到 3 分幾 ） 
 10 : 51pm ： 立場 新聞 開始 live 
 10 : 52pm ： 兩名 軍裝 警員 到場 了解 情況 （ 警方 話 ） 
 10 : 5Xpm ： 兩名 軍裝 警員 從 G2 出口 離開 （ 古天 后 炒股 日記 地球 post ） 
 10 : 55pm ： 立場 姐姐 話 15 分鐘 之前 ， first - aider 已 報警 （ 立場 live 到 4 分幾 ） 
 10 : 58pm ： 立場 姐姐 出 咗 閘機 ， 隨即 被 一個 大叔 追打 至 瞓 低 （ 立場 新聞 live 到 7 分幾 ） 
 11 : 00pm ： 閘內 市民 撤退 上月 台 ， 白衫 一路 追上去 （ 林卓廷 live 到 16 分幾 ） 
 11 : 00pm ： 西鐵 不停 元朗 站 （ 有線 新聞 ） 
 11 : 03pm ： 白衫 上到 月 到 襲擊 車廂 內 市民 （ 林卓廷 live 到 19 分幾 ） 
 11 : 05pm ： 見到 白 衫 喺 月台 襲擊 車廂 內 市民 （ 立場 新聞 live 到 14 分鐘 ) 
 11 : 13pm ： 列車 終於 開出 ， 白衫 暴徒 落去 、 離開 月台 （ 立場 新聞 live 到 22 分鐘 ） 
 11 : 15pm ： 立場 姐姐 話 見到 警察 剛 到達 現場 ， 「 白衫 人士 喺 另一邊 即 鏡頭 最盡個 出口 離開 緊 」 （ 立場 新聞 live 到 24 分幾 ） 
 11 : 16pm ： 白衫 人 向 G2 出口 跑 走 ， 多名 警員 施施然 到場 （ 網民 David 地球 post 、 網友 提供 片段 ） 
 11 : 20pm ： 警員 到場 （ 警察 話 ） 
 11 : 22pm ： 多名 白衫 人 從 天橋 抵雞 地 （ 網友 提供 照片 ） 
 11 : 24pm ： 市民 鼓譟 ， 同 警察 理論 （ 立場 新聞 live 到 33 分鐘 ） 
 11 : 44pm ： 大批 警察 從 J 出口 離開 （ 立場 新聞 live 到 53 分鐘 ） 
 11 : 52pm ： 指揮官 李 漢民 在 西 鐵站 J 出口 外話 冇 睇 錶 （ 港台 新聞 ） 
 00 : 27am ： 白衫 暴徒 拉起 J 出口 鐵閘 返回 車站 追打 市民 （ 港台 新聞 ） 
 01 : 00am 前 ： 白衫 在 南 邊圍 村 出面 追打 私家車 （ 有線 新聞 ） 
 01 : 20am ： 警察 同 記者 去到 南 邊圍 村口 ， 被 拒入 內 （ 有線 新聞 ） 
 03 : 36am ： 警察 入南 邊圍 村 ， 記者 被 拒入 內 （ 有線 新聞 ） 
 03 : 52am ： 警察 出村 ， 冇 人 被捕 （ 有線 新聞 ） 
 04 : 06am ： 白衫 坐 私家車 離開 南 邊圍 村 （ 有線 新聞 ） 
 05 : 15am ： 警司 游乃強 話 唔見 有 攻擊性 武器 、 不能 肯定 村口 人士 參與 打鬥 （ HK01 ） 
 
 在 林卓廷 同 立場 live 之後 ， 好多 野都 有 記錄 
 但 佢 地 開 live 之前 嘅 現場 情況 係 點 ， 好少 人知 
 10 點 40 分 之前 大約 一粒 鐘 幾乎 冇 資料 
 可以 話 係 「 神秘 一 小時 」 ！ 
 成班 暴徒 係 點樣 走上 西 鐵站 ？ 警察 係咪 知情 ？ 
 黑警 玩 冷處理 ， 追查 真相 要 靠 民間 
 除咗 幫手 頂置 呢個 post 
 下面 呢個 go ogle   form 係 收集 線索 
 可以 轉發 畀 住 元朗 嘅 朋友 、 幫手 重組 案情 
 亦 可用 呢個 QR   code ： 
 民間 獨立 調查 委員會 ， 正 、 式 、 成 、 立 ！",元朗 黑夜 搜集 目前 已有 資料 整理 出 相信 目前 完整 記錄 8 49pm 白衫 人 天橋 底 鳳 攸 北街 休憩 處 聚集 盡 元朗 live 9 20pm 有人 休憩 處 被 打 有線 新聞 9 50pm 有人 休憩 處 渠 附近 被 打 Now 新聞 10 33pm 有人 月台 聽到 兩個 白衫 Wh at sApp 同人 班人 敢出 黎 匿 埋 月台 民間 社福界 資訊 地球 post 10 40pm 有人 西 鐵站 中間 位 見到 白衫 同人 口角 十幾個 白衫 跳 入閘 打交 網民 Fubi 地球 post 10 44pm 林卓廷 開始 live 已 見到 有人 受 傷 地下 血跡 現場 人士 稱白衫 人 已 離開 10 45pm 港鐵 發現 元朗 站 大堂 有人 爭執 港鐵話 10 47pm 港鐵 報警 港鐵話 10 47pm 見到 好多 白衫 人 出現 西 鐵站 中間 位 隔空 攻擊 閘內 市民 林卓廷 live 3 分幾 10 51pm 立場 新聞 開始 live 10 52pm 兩名 軍裝 警員 到場 了解 情況 警方 10 5Xpm 兩名 軍裝 警員 從 G2 出口 離開 古天 后 炒股 日記 地球 post 10 55pm 立場 姐姐 15 分鐘 之前 first aider 已 報警 立場 live 4 分幾 10 58pm 立場 姐姐 出 閘機 隨即 被 一個 大叔 追打 至 瞓 低 立場 新聞 live 7 分幾 11 00pm 閘內 市民 撤退 上月 台 白衫 一路 追上去 林卓廷 live 16 分幾 11 00pm 西鐵 不停 元朗 站 有線 新聞 11 03pm 白衫 上到 月 襲擊 車廂 內 市民 林卓廷 live 19 分幾 11 05pm 見到 白 衫 月台 襲擊 車廂 內 市民 立場 新聞 live 14 分鐘 11 13pm 列車 終於 開出 白衫 暴徒 落去 離開 月台 立場 新聞 live 22 分鐘 11 15pm 立場 姐姐 見到 警察 剛 到達 現場 白衫 人士 另一邊 鏡頭 最盡個 出口 離開 緊 立場 新聞 live 24 分幾 11 16pm 白衫 人 向 G2 出口 跑 走 多名 警員 施施然 到場 網民 David 地球 post 網友 提供 片段 11 20pm 警員 到場 警察 11 22pm 多名 白衫 人 從 天橋 抵雞 地 網友 提供 照片 11 24pm 市民 鼓譟 警察 理論 立場 新聞 live 33 分鐘 11 44pm 大批 警察 從 J 出口 離開 立場 新聞 live 53 分鐘 11 52pm 指揮官 李 漢民 西 鐵站 J 出口 外話 錶 港台 新聞 00 27am 白衫 暴徒 拉起 J 出口 鐵閘 返回 車站 追打 市民 港台 新聞 01 00am 前 白衫 南 邊圍 村 出面 追打 私家車 有線 新聞 01 20am 警察 記者 去到 南 邊圍 村口 被 拒入 內 有線 新聞 03 36am 警察 入南 邊圍 村 記者 被 拒入 內 有線 新聞 03 52am 警察 出村 人 被捕 有線 新聞 04 06am 白衫 坐 私家車 離開 南 邊圍 村 有線 新聞 05 15am 警司 游乃強 唔見 攻擊性 武器 不能 肯定 村口 人士 參與 打鬥 HK01 林卓廷 立場 live 好多 野都 記錄 但 地 開 live 之前 現場 情況 好少 人知 10 40 分 之前 大約 一粒 鐘 幾乎 資料 神秘 一 小時 成班 暴徒 走上 西 鐵站 警察 係咪 知情 黑警 玩 冷處理 追查 真相 靠 民間 除咗 幫手 頂置 post 下面 go ogle form 收集 線索 轉發 畀 住 元朗 朋友 幫手 重組 案情 亦 可用 QR code 民間 獨立 調查 委員會 正 式 成 立
151,有用post， 推,1,有用 post ，   推,有用 post 推
152,727元朗見,1,727 元朗 見,727 元朗 見
153,師兄麻煩做埋 69 612 71 77 713 714 721,1,師兄 麻煩 做 埋   69   612   71   77   713   714   721,師兄 麻煩 做 埋 69 612 71 77 713 714 721
154,我地幾萬對眼同政府超級電腦死過，重現真相,1,我 地 幾萬 對 眼同 政府 超級 電腦 死過 ， 重現 真相,地 幾萬 對 眼同 政府 超級 電腦 死過 重現 真相
155,麻煩727去嘅巴絲睇一睇,1,麻煩 727 去 嘅 巴 絲 睇 一 睇,麻煩 727 巴 絲 一
156,我冇野講,1,我 冇 野講,野講
157,不推不是人,1,不 推 不是 人,推 人
158,民間獨立調查,1,民間 獨立 調查,民間 獨立 調查
159,民間獨立調查,1,民間 獨立 調查,民間 獨立 調查
160,"唔好再走去屌個啲膠POST分化POST批鬥POST同FAKE NEWS，阻到正經POST，理返正經野先啦
黑警開槍打手足開撚左三十幾槍呀！
光復香港！
時代革命！
爭取五大訴求！
1. 全面撤回送中條例
2. 撤銷6.12暴動定性
3. 釋放被捕義士並承諾永不追究
4. 全面實行雙普選
5. 成立獨立調查委員會，追究黑警濫用暴力，徹查警黑勾結7.21元朗恐襲",1,"唔好 再 走去 屌 個 啲 膠 POST 分化 POST 批鬥 POST 同 FAKE   NEWS ， 阻到 正經 POST ， 理返 正經 野先 啦 
 黑警 開槍 打 手足 開 撚 左 三十 幾槍 呀 ！ 
 光復 香港 ！ 
 時代 革命 ！ 
 爭取 五大 訴求 ！ 
 1 .   全面 撤回 送中 條例 
 2 .   撤銷 6.12 暴動 定性 
 3 .   釋放 被捕 義士 並 承諾 永不 追究 
 4 .   全面 實行 雙 普選 
 5 .   成立 獨立 調查 委員會 ， 追究 黑警 濫用 暴力 ， 徹查 警黑 勾結 7.21 元朗 恐襲",唔好 走去 屌 膠 POST 分化 POST 批鬥 POST FAKE NEWS 阻到 正經 POST 理返 正經 野先 啦 黑警 開槍 打 手足 開 撚 左 三十 幾槍 光復 香港 時代 革命 爭取 五大 訴求 1 全面 撤回 送中 條例 2 撤銷 6.12 暴動 定性 3 釋放 被捕 義士 並 承諾 永不 追究 4 全面 實行 雙 普選 5 成立 獨立 調查 委員會 追究 黑警 濫用 暴力 徹查 警黑 勾結 7.21 元朗 恐襲
161,呢個太簡化，還原唔到真相,1,呢個 太 簡化 ， 還原 唔 到 真相,簡化 還原 真相
162,樓主 google form 一齊整,1,樓主   go ogle   form   一齊 整,樓主 go ogle form 一齊 整
163,可以入去同樓主合作改改文宣,1,可以 入去 同 樓主 合作 改改 文宣,入去 樓主 合作 改改 文宣
164,冇資料，元朗呢個都整理咗成日,1,冇 資料 ， 元朗 呢個 都 整理 咗 成日,資料 元朗 整理
165,支持成立民間自衛隊，民間獨立調查委員會,1,支持 成立 民間 自衛隊 ， 民間 獨立 調查 委員會,支持 成立 民間 自衛隊 民間 獨立 調查 委員會
166,"巴打辛苦晒
仲有白衫人返返西鐵站時由警察身邊經過
之前見到出面有po有條高清片 搵唔返",1,"巴打 辛苦 晒 
 仲有 白衫 人返 返西 鐵站 時 由 警察 身邊 經過 
 之前 見到 出面 有 po 有條 高清 片   搵 唔 返",巴打 辛苦 晒 仲有 白衫 人返 返西 鐵站 時 警察 身邊 經過 之前 見到 出面 po 有條 高清 片 搵
167,支持成立民間自衛隊，民間獨立調查委員會,1,支持 成立 民間 自衛隊 ， 民間 獨立 調查 委員會,支持 成立 民間 自衛隊 民間 獨立 調查 委員會
168,仲有堆圖中午已經開始集結,1,仲有 堆圖 中午 已經 開始 集結,仲有 堆圖 中午 開始 集結
169,"整個 system 比人入就得, 大家每人比料做d 真心有用, 香港人用自己眼自己調查",1,"整個   system   比人入 就 得 ,   大家 每人 比料 做 d   真心 有用 ,   香港人 用 自己 眼 自己 調查",整個 system 比人入 大家 每人 比料 做 d 真心 有用 香港人 用 眼 調查
170,"推 我想知有幕黑衫係咁二迫一迫白衫係幾點
因為撐政府果班成日用囷段片話黑衫撩人先
如果知幾點可以加番落去嘛?
好似1AM左右的",1,"推   我想 知有幕 黑衫 係 咁 二迫 一迫 白衫 係 幾點 
 因為 撐 政府 果班 成日 用 囷 段 片話 黑衫 撩人先 
 如果 知 幾點 可以 加番 落去 嘛 ? 
 好似 1 AM 左右 的",推 我想 知有幕 黑衫 二迫 一迫 白衫 幾點 撐 政府 果班 用 囷 段 片話 黑衫 撩人先 幾點 加番 落去 嘛 好似 1 AM 左右
171,咦，我好似未見過呢條,1,咦 ， 我 好似 未見過 呢條,咦 好似 未見過 呢條
172,唔明你講緊邊個片段，有冇link,1,唔 明 你 講緊 邊個 片段 ， 有冇 l in k,明 講緊 片段 l in k
173,空白的一坪？,1,空白 的 一坪 ？,空白 一坪
174,"見到有圖
巴士的報影到林卓廷一方拎水喉同滅火筒噴向白衫
懷疑咁樣激起白衫沖入閘",1,"見到 有圖 
 巴士 的 報影 到 林卓廷 一方 拎 水喉 同 滅火 筒 噴向 白衫 
 懷疑 咁 樣 激起 白衫 沖 入閘",見到 有圖 巴士 報影 林卓廷 一方 拎 水喉 滅火 筒 噴向 白衫 懷疑 樣 激起 白衫 沖 入閘
175,"幫推
好有心",1,"幫 推 
 好 有心",幫 推 有心
176,"可唔可以加多項清算人物
我可以入名入埋REFERENCE (片)",1,"可 唔 可以 加 多項 清算 人物 
 我 可以 入名入 埋 REFERENCE   ( 片 )",可 加 多項 清算 人物 入名入 埋 REFERENCE 片
